[src-dst],min-cutsets
"[0, 11]","[[0], [11], [10, 28], [14, 28], [2, 5, 13], [2, 13, 31], [2, 13, 32], [5, 8, 13], [5, 13, 18], [5, 13, 37], [5, 13, 49], [5, 18, 25], [5, 25, 49], [8, 13, 31], [8, 13, 32], [10, 13, 29], [10, 16, 44], [10, 19, 29], [10, 25, 29], [10, 29, 46], [12, 28, 48], [13, 14, 29], [13, 18, 31], [13, 18, 32], [13, 29, 48], [13, 31, 37], [13, 31, 49], [13, 32, 37], [13, 32, 49], [14, 16, 44], [14, 19, 29], [14, 25, 29], [14, 29, 46], [18, 25, 31], [18, 25, 32], [19, 29, 48], [25, 29, 48], [25, 31, 49], [25, 32, 49], [28, 29, 48], [29, 46, 48]]"
"[0, 12]","[[0], [12], [14, 29], [10, 29, 48], [29, 46, 48]]"
"[0, 13]","[[0], [13], [25, 49], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 24, 25], [18, 25, 45], [29, 46, 48]]"
"[0, 14]","[[0], [14], [10, 12, 48], [10, 29, 48], [29, 46, 48]]"
"[0, 15]","[[0], [15], [6, 21], [6, 27], [7, 21], [7, 27], [5, 6, 22], [5, 7, 22], [5, 22, 38], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [21, 22, 38], [22, 27, 38], [28, 29, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 16]","[[0], [16], [9, 10, 28], [9, 14, 28], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [29, 46, 48]]"
"[0, 17]","[[0], [17], [24], [9, 23, 42], [9, 23, 46], [9, 28, 42], [9, 28, 46], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 23, 42], [16, 23, 46], [16, 28, 42], [16, 28, 46], [19, 28, 42], [19, 28, 46], [23, 33, 42], [23, 33, 46], [28, 42, 44], [28, 44, 46], [29, 44, 46], [29, 46, 48]]"
"[0, 18]","[[0], [18], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [29, 46, 48]]"
"[0, 19]","[[0], [19], [9, 10, 28], [9, 14, 28], [10, 16, 28], [10, 16, 44], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 16, 28], [14, 16, 44], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 25, 44], [29, 46, 48]]"
"[0, 20]","[[0], [20], [3, 43], [4, 29, 48], [5, 13, 43], [5, 25, 43], [5, 31, 43], [6, 10, 28], [6, 10, 44], [6, 14, 28], [6, 14, 44], [10, 28, 38], [10, 28, 48], [10, 38, 44], [10, 44, 48], [12, 28, 48], [12, 44, 48], [13, 32, 43], [14, 28, 38], [14, 28, 48], [14, 38, 44], [14, 44, 48], [21, 29, 48], [22, 29, 48], [25, 32, 43], [28, 29, 48], [29, 43, 48], [29, 44, 48], [29, 46, 48], [31, 32, 43]]"
"[0, 21]","[[0], [21], [5, 6, 22], [5, 7, 22], [5, 15, 22], [5, 22, 27], [5, 22, 38], [5, 22, 48], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [28, 29, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 22]","[[0], [22], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [28, 29, 48], [29, 46, 48]]"
"[0, 23]","[[0], [23], [9, 28, 42], [9, 28, 46], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 28, 42], [16, 28, 46], [19, 28, 42], [19, 28, 46], [29, 46, 48]]"
"[0, 24]","[[0], [24], [9, 23, 42], [9, 23, 46], [9, 28, 42], [9, 28, 46], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 23, 42], [16, 23, 46], [16, 28, 42], [16, 28, 46], [19, 28, 42], [19, 28, 46], [23, 33, 42], [23, 33, 46], [29, 46, 48]]"
"[0, 25]","[[0], [25], [9, 10, 28], [9, 14, 28], [10, 16, 19], [10, 16, 28], [10, 16, 44], [10, 18, 19], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 16, 28], [14, 16, 44], [14, 28, 42], [14, 28, 46], [14, 29, 46], [29, 46, 48]]"
"[0, 26]","[[0], [26], [18, 24], [24, 28], [24, 29], [24, 49], [30, 34], [1, 16, 30], [1, 18, 30], [1, 28, 30], [1, 29, 30], [1, 30, 37], [1, 30, 49], [9, 28, 42], [9, 28, 46], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 19, 24], [16, 24, 44], [16, 28, 42], [16, 28, 46], [17, 18, 45], [17, 28, 45], [17, 29, 45], [17, 34, 45], [17, 45, 49], [18, 30, 45], [18, 30, 47], [19, 28, 42], [19, 28, 46], [24, 34, 45], [28, 30, 42], [28, 30, 45], [28, 30, 46], [28, 30, 47], [28, 33, 42], [28, 33, 46], [28, 42, 44], [28, 44, 46], [29, 30, 45], [29, 30, 46], [29, 30, 47], [29, 44, 46], [29, 46, 48], [30, 45, 49], [30, 47, 49]]"
"[0, 27]","[[0], [27], [6, 21], [7, 21], [15, 21], [4, 21, 38], [5, 6, 22], [5, 7, 22], [5, 15, 22], [5, 22, 38], [10, 21, 38], [10, 21, 48], [10, 28, 38], [10, 28, 48], [12, 21, 48], [12, 28, 48], [14, 21, 38], [14, 21, 48], [14, 28, 38], [14, 28, 48], [21, 22, 38], [21, 29, 48], [21, 35, 38], [21, 35, 48], [21, 38, 48], [21, 39, 48], [28, 29, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 28]","[[0], [28], [29, 46, 48]]"
"[0, 29]","[[0], [29]]"
"[0, 30]","[[0], [30], [17, 45], [18, 24], [24, 45], [24, 49], [10, 24, 28], [10, 24, 29], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 24, 28], [14, 24, 29], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 19, 24], [16, 24, 44], [19, 24, 28], [19, 24, 29], [19, 28, 42], [19, 28, 46], [24, 28, 44], [24, 28, 48], [24, 29, 44], [24, 29, 48], [28, 42, 44], [28, 44, 46], [29, 44, 46], [29, 46, 48]]"
"[0, 31]","[[0], [31], [2, 5, 13], [2, 13, 32], [5, 13, 18], [5, 13, 28], [5, 13, 29], [5, 13, 37], [5, 13, 49], [5, 25, 49], [13, 18, 32], [13, 28, 32], [13, 29, 32], [13, 32, 37], [13, 32, 49], [25, 32, 49], [29, 46, 48]]"
"[0, 32]","[[0], [32], [5, 10], [5, 13], [5, 14], [5, 25], [5, 31], [4, 22, 25], [5, 12, 48], [5, 29, 48], [29, 46, 48]]"
"[0, 33]","[[0], [33], [9, 24], [9, 23, 42], [9, 23, 46], [9, 28, 42], [9, 28, 46], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 23, 24], [16, 23, 42], [16, 23, 46], [16, 28, 42], [16, 28, 46], [29, 46, 48]]"
"[0, 34]","[[0], [34], [18, 24], [18, 45], [24, 49], [45, 49], [1, 24, 37], [1, 26, 37], [1, 26, 49], [1, 30, 37], [1, 30, 49], [1, 37, 45], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 28, 42], [18, 28, 46], [18, 29, 46], [26, 47, 49], [28, 42, 49], [28, 46, 49], [29, 46, 48], [29, 46, 49], [30, 47, 49]]"
"[0, 35]","[[0], [35], [4, 10, 38], [4, 10, 39], [4, 10, 48], [10, 38, 44], [10, 44, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 36]","[[0], [36], [38, 48], [4, 10, 48], [4, 35, 48], [4, 39, 48], [6, 39, 48], [10, 28, 48], [10, 44, 48], [12, 44, 48], [14, 44, 48], [22, 35, 48], [22, 39, 48], [29, 44, 48], [29, 46, 48], [35, 44, 48]]"
"[0, 37]","[[0], [37], [49], [18, 24], [18, 45], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 28, 42], [18, 28, 46], [18, 29, 46], [29, 46, 48]]"
"[0, 38]","[[0], [38], [4, 10, 48], [6, 39, 48], [10, 28, 48], [10, 44, 48], [12, 44, 48], [14, 44, 48], [22, 35, 48], [22, 39, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 39]","[[0], [39], [4, 10, 38], [4, 10, 48], [4, 35, 38], [4, 35, 48], [10, 38, 44], [10, 44, 48], [22, 35, 38], [22, 35, 48], [29, 44, 48], [29, 46, 48], [35, 38, 44], [35, 44, 48]]"
"[0, 40]","[[0], [40], [18, 24], [18, 45], [24, 49], [34, 37], [34, 41], [34, 49], [45, 49], [1, 24, 37], [1, 26, 37], [1, 26, 49], [1, 30, 37], [1, 30, 49], [1, 37, 45], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 28, 42], [18, 28, 46], [18, 29, 46], [26, 47, 49], [28, 42, 49], [28, 46, 49], [29, 46, 48], [29, 46, 49], [30, 47, 49]]"
"[0, 41]","[[0], [41], [18, 24], [18, 45], [24, 49], [34, 37], [34, 49], [45, 49], [1, 24, 37], [1, 26, 37], [1, 26, 49], [1, 30, 37], [1, 30, 49], [1, 37, 45], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 28, 42], [18, 28, 46], [18, 29, 46], [26, 47, 49], [28, 42, 49], [28, 46, 49], [29, 46, 48], [29, 46, 49], [30, 47, 49]]"
"[0, 42]","[[0], [42], [9, 23, 46], [9, 28, 46], [10, 28, 46], [10, 29, 46], [14, 28, 46], [14, 29, 46], [16, 23, 46], [16, 28, 46], [19, 28, 46], [23, 24, 46], [23, 33, 46], [28, 44, 46], [29, 44, 46], [29, 46, 48]]"
"[0, 43]","[[0], [43], [4, 29, 48], [5, 6, 21], [5, 6, 22], [5, 7, 21], [5, 7, 22], [5, 15, 21], [5, 15, 22], [5, 21, 27], [5, 21, 38], [5, 21, 48], [5, 22, 27], [5, 22, 38], [5, 22, 48], [6, 21, 32], [7, 21, 32], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [15, 21, 32], [21, 27, 32], [21, 29, 48], [21, 32, 38], [21, 32, 48], [22, 29, 48], [28, 29, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 44]","[[0], [44], [29, 46, 48]]"
"[0, 45]","[[0], [45], [18, 24], [24, 49], [10, 24, 28], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 24, 28], [14, 28, 42], [14, 28, 46], [14, 29, 46], [29, 46, 48]]"
"[0, 46]","[[0], [46]]"
"[0, 47]","[[0], [47], [1, 45], [18, 24], [18, 45], [24, 49], [45, 49], [10, 24, 28], [10, 28, 42], [10, 28, 45], [10, 28, 46], [10, 29, 45], [10, 29, 46], [14, 24, 28], [14, 28, 42], [14, 28, 45], [14, 28, 46], [14, 29, 45], [14, 29, 46], [16, 19, 45], [16, 44, 45], [19, 28, 45], [19, 29, 45], [28, 44, 45], [28, 45, 48], [29, 44, 45], [29, 45, 48], [29, 46, 48]]"
"[0, 48]","[[0], [48]]"
"[0, 49]","[[0], [49], [18, 24], [18, 45], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 28, 42], [18, 28, 46], [18, 29, 46], [29, 46, 48]]"
"[1, 2]","[[1], [2], [5, 13, 37], [8, 31, 37], [9, 34, 49], [9, 37, 49], [13, 18, 37], [13, 25, 37], [13, 31, 37], [13, 32, 37], [13, 34, 49], [13, 37, 49], [16, 34, 49], [16, 37, 49], [19, 34, 49], [19, 37, 49], [24, 34, 49], [24, 37, 49], [25, 34, 49], [25, 37, 49], [31, 34, 49], [31, 37, 49], [33, 34, 49], [33, 37, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 3]","[[1], [3], [2, 49], [34, 49], [37, 49], [2, 5, 13], [2, 13, 18], [2, 13, 25], [2, 13, 32], [5, 11, 31], [5, 13, 37], [8, 31, 49], [11, 25, 31], [11, 31, 32], [11, 31, 49], [13, 18, 37], [13, 25, 37], [13, 32, 37]]"
"[1, 4]","[[1], [4], [24, 49], [45, 49], [47, 49], [5, 10, 44], [5, 35, 44], [9, 28, 49], [10, 18, 44], [10, 25, 44], [10, 44, 49], [12, 18, 44], [12, 25, 44], [12, 44, 49], [13, 18, 24], [13, 18, 45], [14, 18, 44], [14, 25, 44], [14, 44, 49], [16, 28, 49], [18, 19, 24], [18, 19, 28], [18, 19, 45], [18, 23, 44], [18, 24, 25], [18, 24, 44], [18, 25, 45], [18, 28, 44], [18, 29, 44], [18, 35, 44], [18, 44, 45], [18, 44, 47], [19, 25, 28], [19, 28, 49], [23, 44, 49], [25, 28, 44], [25, 29, 44], [25, 35, 44], [28, 44, 49], [29, 44, 49], [35, 44, 49]]"
"[1, 5]","[[1], [5], [2, 24, 49], [2, 45, 49], [2, 47, 49], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [25, 31, 44], [25, 32, 44], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 6]","[[1], [6], [22, 38], [2, 24, 49], [2, 45, 49], [2, 47, 49], [4, 5, 10], [4, 10, 22], [5, 10, 44], [5, 18, 24], [5, 18, 45], [5, 18, 47], [5, 24, 49], [5, 35, 44], [5, 45, 49], [5, 47, 49], [10, 22, 35], [10, 22, 39], [10, 22, 44], [14, 22, 35], [14, 22, 39], [18, 22, 24], [18, 22, 35], [18, 22, 39], [18, 22, 45], [18, 22, 47], [19, 22, 35], [19, 22, 39], [22, 24, 49], [22, 35, 44], [22, 35, 48], [22, 35, 49], [22, 39, 44], [22, 39, 48], [22, 39, 49], [22, 45, 49], [22, 47, 49], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 7]","[[1], [7], [5, 6], [6, 15], [6, 18], [6, 21], [6, 25], [6, 27], [6, 49], [2, 24, 49], [2, 45, 49], [2, 47, 49], [4, 5, 10], [5, 10, 44], [5, 18, 24], [5, 18, 45], [5, 18, 47], [5, 22, 38], [5, 24, 49], [5, 35, 44], [5, 45, 49], [5, 47, 49], [15, 22, 38], [18, 22, 24], [18, 22, 35], [18, 22, 38], [18, 22, 39], [18, 22, 45], [18, 22, 47], [21, 22, 38], [22, 24, 49], [22, 25, 38], [22, 27, 38], [22, 35, 49], [22, 38, 49], [22, 39, 49], [22, 45, 49], [22, 47, 49], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 8]","[[1], [8], [2, 5, 13], [2, 9, 49], [2, 11, 13], [2, 13, 18], [2, 13, 25], [2, 13, 31], [2, 13, 32], [2, 13, 49], [2, 16, 49], [2, 24, 49], [2, 25, 49], [2, 33, 49], [2, 45, 49], [2, 47, 49], [5, 13, 37], [9, 34, 49], [9, 37, 49], [11, 13, 37], [13, 18, 37], [13, 25, 37], [13, 31, 37], [13, 32, 37], [13, 34, 49], [13, 37, 49], [16, 34, 49], [16, 37, 49], [24, 34, 49], [24, 37, 49], [25, 34, 49], [25, 37, 49], [33, 34, 49], [33, 37, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 9]","[[1], [9], [24, 49], [13, 18, 24], [16, 18, 24], [16, 19, 24], [16, 23, 24], [16, 23, 33], [16, 24, 28], [16, 24, 44], [17, 45, 49], [18, 19, 24], [18, 24, 25], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 10]","[[1], [10], [24, 49], [45, 49], [47, 49], [13, 18, 24], [13, 18, 45], [14, 25, 44], [18, 24, 25], [18, 25, 45]]"
"[1, 11]","[[1], [11], [2, 49], [34, 49], [37, 49], [2, 5, 13], [2, 13, 18], [2, 13, 25], [2, 13, 32], [5, 13, 37], [8, 31, 49], [13, 18, 37], [13, 25, 37], [13, 32, 37]]"
"[1, 12]","[[1], [12], [14, 29], [24, 49], [45, 49], [47, 49], [0, 10, 28], [0, 10, 29], [0, 14, 28], [10, 18, 24], [10, 18, 45], [10, 24, 28], [10, 24, 29], [10, 28, 42], [10, 28, 45], [10, 28, 46], [10, 28, 47], [10, 29, 42], [10, 29, 45], [10, 29, 46], [10, 29, 47], [10, 29, 48], [13, 18, 24], [13, 18, 45], [14, 18, 24], [14, 18, 45], [14, 24, 28], [14, 28, 42], [14, 28, 45], [14, 28, 46], [14, 28, 47], [18, 24, 25], [18, 25, 45]]"
"[1, 13]","[[1], [13], [2, 24, 49], [2, 25, 49], [2, 45, 49], [2, 47, 49], [24, 34, 49], [24, 37, 49], [25, 34, 49], [25, 37, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 14]","[[1], [14], [24, 49], [45, 49], [47, 49], [0, 10, 12], [0, 10, 28], [0, 10, 29], [10, 12, 24], [10, 12, 45], [10, 12, 47], [10, 12, 48], [10, 18, 24], [10, 18, 45], [10, 24, 28], [10, 24, 29], [10, 28, 42], [10, 28, 45], [10, 28, 46], [10, 28, 47], [10, 29, 42], [10, 29, 45], [10, 29, 46], [10, 29, 47], [10, 29, 48], [13, 18, 24], [13, 18, 45], [18, 24, 25], [18, 25, 45]]"
"[1, 15]","[[1], [15], [6, 27], [7, 27], [2, 24, 49], [2, 45, 49], [2, 47, 49], [6, 21, 32], [6, 21, 43], [7, 21, 32], [7, 21, 43], [10, 27, 49], [22, 27, 35], [22, 27, 38], [22, 27, 39], [24, 27, 49], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [25, 27, 44], [25, 31, 44], [25, 32, 44], [27, 35, 49], [27, 38, 49], [27, 39, 49], [27, 44, 49], [27, 45, 49], [27, 47, 49], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 16]","[[1], [16], [24, 49], [9, 28, 49], [9, 45, 49], [9, 47, 49], [13, 18, 24], [17, 45, 49], [18, 19, 24], [18, 24, 25], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 17]","[[1], [17], [24, 30], [24, 26, 45], [24, 34, 45], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 18]","[[1], [18], [2, 24, 49], [13, 24, 49], [24, 25, 49], [24, 31, 49], [24, 34, 49], [24, 37, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 19]","[[1], [19], [24, 49], [9, 28, 49], [9, 45, 49], [9, 47, 49], [13, 18, 24], [16, 28, 49], [16, 44, 49], [16, 45, 49], [16, 47, 49], [17, 45, 49], [18, 24, 25], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [33, 45, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 20]","[[1], [20], [2, 49], [3, 43], [34, 49], [37, 49], [2, 5, 13], [2, 13, 18], [2, 13, 25], [3, 5, 31], [3, 5, 32], [3, 18, 31], [3, 18, 32], [3, 21, 32], [3, 25, 31], [3, 25, 32], [3, 31, 49], [3, 32, 49], [5, 11, 31], [5, 13, 37], [8, 31, 49], [11, 18, 31], [11, 25, 31], [11, 31, 49], [13, 18, 37], [13, 25, 37]]"
"[1, 21]","[[1], [21], [2, 24, 49], [2, 45, 49], [2, 47, 49], [5, 22, 31], [5, 22, 32], [5, 22, 43], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [25, 31, 44], [25, 32, 44], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 22]","[[1], [22], [2, 24, 49], [2, 45, 49], [2, 47, 49], [4, 5, 10], [4, 5, 35], [4, 5, 39], [5, 10, 44], [5, 18, 24], [5, 18, 44], [5, 18, 45], [5, 24, 49], [5, 25, 44], [5, 35, 44], [5, 44, 49], [5, 45, 49], [5, 47, 49], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [25, 31, 44], [25, 32, 44], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 23]","[[1], [23], [18, 24], [24, 49], [9, 24, 28], [16, 19, 24], [16, 24, 28], [16, 24, 44], [17, 18, 45], [17, 45, 49], [18, 26, 45], [18, 30, 45], [18, 34, 45], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 24]","[[1], [24], [17, 45, 49], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 25]","[[1], [25], [2, 24, 49], [2, 45, 49], [24, 34, 49], [24, 37, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49]]"
"[1, 26]","[[1], [26], [30, 34], [16, 34, 45], [17, 34, 45], [18, 34, 45], [24, 34, 45], [34, 45, 49], [34, 47, 49]]"
"[1, 27]","[[1], [27], [2, 21, 49], [2, 24, 49], [2, 45, 49], [2, 47, 49], [5, 21, 31], [5, 21, 43], [5, 22, 31], [5, 22, 43], [5, 31, 44], [5, 43, 44], [6, 21, 43], [7, 21, 43], [15, 21, 43], [18, 21, 31], [18, 21, 43], [21, 22, 43], [21, 25, 31], [21, 25, 43], [21, 31, 49], [21, 34, 49], [21, 37, 49], [21, 43, 49], [24, 31, 49], [24, 34, 49], [24, 37, 49], [25, 31, 44], [31, 45, 49], [31, 47, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 28]","[[1], [28], [18, 24], [18, 45], [24, 49], [45, 49], [26, 47, 49], [30, 47, 49], [34, 47, 49]]"
"[1, 29]","[[1], [29], [18, 24], [18, 45], [24, 49], [45, 49], [0, 10, 28], [0, 12, 28], [0, 14, 28], [10, 24, 28], [10, 28, 42], [10, 28, 45], [10, 28, 46], [10, 28, 47], [14, 24, 28], [14, 28, 42], [14, 28, 45], [14, 28, 46], [14, 28, 47], [18, 28, 47], [23, 47, 49], [26, 47, 49], [28, 47, 49], [30, 47, 49], [34, 47, 49]]"
"[1, 30]","[[1], [30], [17, 26, 45], [17, 34, 45], [18, 26, 45], [18, 34, 45], [24, 26, 45], [24, 34, 45], [26, 45, 49], [26, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 31]","[[1], [31], [2, 5, 13], [2, 9, 49], [2, 13, 25], [2, 13, 32], [2, 16, 49], [2, 24, 49], [2, 25, 49], [2, 33, 49], [2, 45, 49], [2, 47, 49], [5, 13, 37], [9, 34, 49], [9, 37, 49], [13, 25, 37], [13, 32, 37], [16, 34, 49], [16, 37, 49], [24, 34, 49], [24, 37, 49], [25, 34, 49], [25, 37, 49], [33, 34, 49], [33, 37, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 32]","[[1], [32], [2, 5, 13], [2, 5, 31], [2, 5, 49], [2, 9, 49], [2, 16, 49], [2, 24, 49], [2, 25, 49], [2, 45, 49], [2, 47, 49], [3, 5, 31], [5, 8, 31], [5, 11, 31], [5, 13, 37], [5, 31, 37], [5, 34, 49], [5, 37, 49], [9, 34, 49], [9, 37, 49], [16, 34, 49], [16, 37, 49], [24, 34, 49], [24, 37, 49], [25, 34, 49], [25, 37, 49], [34, 45, 49], [34, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[1, 33]","[[1], [33], [9, 24], [24, 49], [13, 18, 24], [16, 18, 24], [16, 19, 24], [16, 23, 24], [16, 24, 28], [16, 24, 44], [17, 45, 49], [18, 19, 24], [18, 24, 25], [26, 45, 49], [26, 47, 49], [30, 45, 49], [30, 47, 49], [34, 45, 49], [34, 47, 49]]"
"[1, 34]","[[1], [34]]"
